sample,Passed events,Per-event weight,Expected yield
ST_tW_top_Semilep,241,0.03283668338441667,7.913640695644418
ST_tW_antitop_Semilep,226,0.03314064802450271,7.4897864535376115
ST_tW_antitop_Lep,40,0.14928773459508166,5.971509383803266
ST_tW_top_Lep,29,0.14727544357415198,4.270987863650407
ZZto2L2Q,13,0.12271218005037623,1.595258340654891
WZtoLNu2Q,5,0.1599875090519275,0.7999375452596375
WZto2L2Q,21,0.03355079262012354,0.7045666450225944
ST_sch_top_Lep,1,0.22741807795959246,0.22741807795959246
WWto2L2Nu,3,0.05811792564693327,0.17435377694079982
WZto3LNu,1,0.11514157673568377,0.11514157673568377
WWtoLNu2Q,8,0.014331281175448981,0.11465024940359185
ST_tW_top_Fullyhad,1,0.09414025890019963,0.09414025890019963
ST_tW_antitop_Fullyhad,1,0.09119749992191431,0.09119749992191431
ZZto4L,4,0.02191746038815842,0.08766984155263367
TTJJ_powheg,10,0.006972911015308001,0.06972911015308
DYJets_MG,9,0.0019931874699342716,0.017938687229408445
DYJets,14,0.001086707490134485,0.01521390486188279
WWto4Q,1,0.007178834866151417,0.007178834866151417
WJets,1,0.001261982049017423,0.001261982049017423
QCD_HT1000to1200,1,0.0011235092941517982,0.0011235092941517982
QCD_HT1200to1500,1,0.0010765472285510977,0.0010765472285510977
QCDB_HT1000to1500,0,0.15074203343196618,0.0
HtoZZto4L,0,7.897744009940404e-06,0.0
QCDB_HT1500to2000,0,0.14144045111379258,0.0
ST_sch_antitop_Lep,0,0.3688057625836358,0.0
ST_tch_antitop,0,0.24071406834601167,0.0
ST_tch_top,0,0.11737443903112932,0.0
ZZto2Nu2Q,0,43.337616951841035,0.0
QCDB_HT800to1000,0,0.00979738011342099,0.0
QCD_HT70to100,0,0.0030543123484324014,0.0
QCDB_HT600to800,0,0.0003670907018951531,0.0
QCD_HT100to200,0,0.0,0.0
QCDB_HT400to600,0,0.002743808568958742,0.0
QCDB_HT40to100,0,0.0028955441906367042,0.0
ZZto2L2Nu,0,2.5158201235318116,0.0
QCD_HT200to400,0,0.001657717000065443,0.0
QCD_HT400to600,0,0.0013981034598054124,0.0
QCDB_HT100to200,0,0.00184742899315552,0.0
QCD_HT600to800,0,0.0013229637547373266,0.0
QCD_HT1500to2000,0,0.0002830853116645117,0.0
QCD_HT800to1000,0,0.001108553079667771,0.0
QCD_HT2000toInf,0,7.110346650081985e-05,0.0
QCDB_HT200to400,0,0.0011606832484792327,0.0
Total,631,48.221978253302574,29.763780784669486
